,Name,Club,Salary
0,Raheem Sterling,Chelsea F.C.,16900000.0
1,Kalidou Koulibaly,Chelsea F.C.,15340000.0
2,N'Golo Kante,Chelsea F.C.,15080000.0
3,Reece James,Chelsea F.C.,13000000.0
4,Wesley Fofana,Chelsea F.C.,10400000.0
5,Ben Chilwell,Chelsea F.C.,9880000.0
6,César Azpilicueta,Chelsea F.C.,9360000.0
7,Marc Cucurella,Chelsea F.C.,9100000.0
8,Pierre-Emerick Aubameyang,Chelsea F.C.,8320000.0
9,Enzo Fernández,Chelsea F.C.,8190000.0
10,Kepa Arrizabalaga,Chelsea F.C.,7800000.0
11,Kai Havertz,Chelsea F.C.,7800000.0
12,Christian Pulisic,Chelsea F.C.,7800000.0
13,Ruben Loftus-Cheek,Chelsea F.C.,6240000.0
14,João Félix,Chelsea F.C.,5720000.0
15,Thiago Silva,Chelsea F.C.,5720000.0
16,Carney Chukwuemeka,Chelsea F.C.,5200000.0
17,David Fofana,Chelsea F.C.,5200000.0
18,Mateo Kovacic,Chelsea F.C.,5200000.0
19,Hakim Ziyech,Chelsea F.C.,5200000.0
20,Denis Zakaria,Chelsea F.C.,4680000.0
21,Mason Mount,Chelsea F.C.,4160000.0
22,Edouard Mendy,Chelsea F.C.,2860000.0
23,Trevoh Chalobah,Chelsea F.C.,2600000.0
24,Conor Gallagher,Chelsea F.C.,2600000.0
25,Mykhailo Mudryk,Chelsea F.C.,2600000.0
26,Benoit Badiashile,Chelsea F.C.,2340000.0
27,Armando Broja,Chelsea F.C.,2080000.0
28,Marcus Bettinelli,Chelsea F.C.,1820000.0
29,Gabriel Slonina,Chelsea F.C.,1040000.0
30,Malo Gusto,Chelsea F.C.,
31,Noni Madueke,Chelsea F.C.,
32,David De Gea,Manchester United F.C.,19500000.0
33,Jadon Sancho,Manchester United F.C.,18200000.0
34,Raphael Varane,Manchester United F.C.,17680000.0
35,Carlos Casimiro,Manchester United F.C.,15600000.0
36,Anthony Martial,Manchester United F.C.,13000000.0
37,Bruno Fernandes,Manchester United F.C.,12480000.0
38,Antony dos Santo,Manchester United F.C.,10400000.0
39,Marcus Rashford,Manchester United F.C.,10400000.0
40,Harry Maguire,Manchester United F.C.,9875000.0
41,Christian Eriksen,Manchester United F.C.,7800000.0
42,Luke Shaw,Manchester United F.C.,7800000.0
43,Frederico de Paula Santos,Manchester United F.C.,6240000.0
44,Victor Lindelof,Manchester United F.C.,6240000.0
45,Lisandro Martínez,Manchester United F.C.,6240000.0
46,Donny van de Beek,Manchester United F.C.,6240000.0
47,Aaron Wan-Bissaka,Manchester United F.C.,4680000.0
48,Mason Greenwood,Manchester United F.C.,3900000.0
49,Phil Jones,Manchester United F.C.,3900000.0
50,Tyrell Malacia,Manchester United F.C.,3900000.0
51,Brandon Williams,Manchester United F.C.,3380000.0
52,Scott McTominay,Manchester United F.C.,3120000.0
53,Marcel Sabitzer,Manchester United F.C.,2860000.0
54,Tom Heaton,Manchester United F.C.,2180000.0
55,Diogo Dalot,Manchester United F.C.,1300000.0
56,Facundo Pellistri,Manchester United F.C.,1040000.0
57,Anthony Elanga,Manchester United F.C.,260000.0
58,Teden Mengi,Manchester United F.C.,260000.0
